EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
161795.100,190338.400,442529.400,204309.800,247299.300,218656.700,211400.000,227353.300,0.000
161399.200,190002.400,441444.700,203832.500,247030.700,218057.300,211066.400,226985.100,0.000
161051.100,189684.300,440352.000,203342.600,246776.900,217574.200,210712.600,226603.000,0.000
160925.300,189200.800,439552.300,203096.700,245955.300,217332.800,210277.900,226141.400,0.000
160784.400,188997.500,438975.300,202883.100,245448.200,217213.800,209948.100,225792.000,0.000
160476.000,188772.100,438170.600,202516.500,245239.200,216851.500,209655.400,225479.200,0.000
160130.000,188497.000,437259.300,202104.600,245048.900,216327.200,209386.300,225181.200,0.000
159834.500,188247.100,436343.900,201684.400,244881.400,215917.800,209101.800,224876.300,0.000
159773.900,187844.200,435729.800,201521.800,244163.600,215761.900,208749.400,224499.600,0.000
159676.700,187690.400,435303.000,201373.400,243720.800,215701.900,208479.900,224215.100,0.000
159443.300,187550.800,434682.500,201103.500,243616.400,215439.400,208278.400,223999.000,0.000
159142.100,187328.300,433920.800,200757.400,243505.700,214979.900,208072.900,223770.200,0.000
158899.500,187142.800,433154.700,200412.500,243431.700,214643.500,207865.600,223542.800,0.000
158868.700,186776.400,432652.900,200294.300,242776.300,214534.900,207565.000,223221.900,0.000
158812.300,186665.800,432347.000,200194.200,242391.500,214530.100,207349.400,222998.400,0.000
158605.300,186556.300,431836.000,199959.700,242331.000,214304.900,207185.900,222827.000,0.000
158359.100,186393.300,431208.100,199679.400,242286.500,213913.300,207045.000,222665.600,0.000
158145.400,186247.500,430551.200,199370.200,242259.200,213621.400,206874.700,222480.900,0.000
158160.400,185936.500,430172.700,199307.500,241678.000,213571.700,206633.300,222224.400,0.000
158156.600,185884.100,429991.400,199271.000,241360.200,213634.800,206483.000,222062.200,0.000
157987.200,185823.700,429588.500,199084.800,241358.700,213463.700,206368.800,221937.500,0.000
157749.300,185675.500,429030.600,198819.700,241339.000,213096.200,206245.000,221796.900,0.000
157562.900,185560.300,428458.400,198547.700,241355.600,212846.100,206115.100,221657.300,0.000
157610.600,185289.100,428170.200,198530.300,240823.600,212835.900,205917.900,221448.200,0.000
157617.400,185253.900,428057.500,198518.500,240533.800,212916.000,205782.200,221309.700,0.000
157485.900,185233.100,427742.100,198380.000,240579.200,212788.600,205712.100,221235.200,0.000
157289.600,185131.600,427280.100,198166.500,240618.000,212469.800,205639.100,221148.200,0.000
157131.300,185054.000,426788.400,197930.300,240681.200,212256.000,205546.500,221043.300,0.000
157170.300,184784.400,426536.300,197906.000,240163.500,212246.900,205349.000,220836.400,0.000
157208.100,184779.600,426496.900,197928.300,239917.000,212361.800,205253.600,220741.200,0.000
157084.800,184773.100,426234.600,197802.200,239984.700,212254.800,205198.100,220679.500,0.000
156911.900,184698.100,425834.800,197618.100,240052.700,211967.400,205154.500,220624.300,0.000
156772.000,184642.100,425396.700,197409.300,240147.100,211781.800,205088.300,220552.900,0.000
156853.600,184413.000,425220.200,197436.800,239677.000,211819.300,204938.900,220392.300,0.000
156899.800,184415.000,425217.600,197477.800,239439.600,211947.600,204853.700,220306.200,0.000
156808.800,184439.500,425015.000,197389.300,239541.100,211876.300,204828.200,220280.400,0.000
156640.500,184366.000,424645.500,197212.000,239610.400,211593.900,204782.600,220223.700,0.000
156508.600,184313.500,424239.400,197008.900,239712.000,211410.900,204716.000,220150.300,0.000
156606.200,184099.200,424102.800,197053.900,239257.500,211461.500,204581.100,220007.500,0.000
156669.600,184117.700,424148.300,197114.500,239036.600,211606.500,204514.600,219941.600,0.000
156567.500,184137.800,423965.300,197017.500,239139.600,211531.600,204485.300,219914.600,0.000
156416.700,184077.300,423638.600,196862.200,239233.700,211272.000,204466.900,219889.100,0.000
156308.300,184058.900,423288.400,196693.000,239376.800,211122.400,204441.500,219859.700,0.000
156413.900,183865.400,423187.300,196751.500,238959.700,211193.200,204332.300,219744.600,0.000
156470.000,183877.200,423248.000,196809.000,238741.000,211337.300,204267.500,219680.300,0.000
156379.600,183913.900,423103.400,196732.000,238860.000,211281.500,204257.400,219668.800,0.000
156241.400,183879.000,422818.700,196595.100,238982.100,211041.200,204254.600,219661.800,0.000
156134.000,183868.500,422488.900,196425.900,239137.100,210899.700,204230.000,219633.700,0.000
156243.100,183683.300,422409.100,196487.500,238721.400,210975.800,204122.300,219513.700,0.000
156319.700,183717.800,422508.600,196566.200,238523.300,211139.600,204075.400,219465.200,0.000
156244.200,183769.200,422386.000,196497.100,238655.500,211100.500,204074.000,219465.500,0.000
156100.600,183723.200,422102.400,196351.500,238760.500,210857.100,204064.000,219450.700,0.000
156020.800,183738.400,421815.300,196214.300,238944.100,210742.400,204067.700,219451.600,0.000
156138.800,183555.000,421756.300,196292.800,238543.800,210822.900,203970.300,219347.600,0.000
156205.500,183573.400,421858.000,196370.000,238333.400,210979.500,203915.700,219295.500,0.000
156146.200,183639.300,421771.500,196329.800,238489.900,210958.700,203938.000,219319.600,0.000
156025.600,183618.500,421530.100,196216.700,238627.100,210741.700,203957.800,219334.300,0.000
155911.800,183611.000,421223.500,196052.300,238789.200,210602.400,203941.200,219313.200,0.000
156027.100,183431.800,421172.900,196128.500,238393.800,210687.000,203850.400,219218.000,0.000
156112.500,183466.400,421303.400,196219.600,238199.300,210860.800,203811.100,219182.100,0.000
156040.600,183524.100,421217.800,196162.500,238346.000,210832.100,203822.300,219192.500,0.000
