EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
6533.9438104996225,7738.126597298022,18907.397737044546,8811.683942284957,10158.00788028421,8871.281191832077,8592.76930215057,9247.438008838797,0.0
39628.87588034992,46919.31121454754,114325.8608891029,53301.09548528413,61593.69607815519,53788.04676069951,52106.96130445409,56075.06930594451,0.0
108628.15623409873,128555.02332542502,311973.7547977147,145529.70152773417,168745.6478086819,147385.20683572083,142781.94991178985,153648.8285839677,0.0
182012.38869428073,215258.6734029492,519213.21483355376,242400.61359390456,282456.97329762497,246856.16170350584,239080.38907011366,257262.97563798312,0.0
215557.1083275709,254704.00044168587,608770.1464088933,284542.6912070043,333954.8973917982,292254.65714369,282826.52438485844,304316.05033838365,0.0
201849.68191721747,238256.93520300038,562075.1429203168,263126.45900584554,311985.0001452398,273582.6943239354,264422.99192742107,284487.2779800196,0.0
169045.91068478097,199331.82589539603,462969.9168812351,217109.8564274747,260632.73774874184,228949.4298695029,221101.9554002584,237841.93175672385,0.0
146208.057818408,172266.3194230239,395556.5051108293,185729.46701138496,225063.27413067094,197678.63606685548,191110.26936098567,205535.45215559733,0.0
141358.28152311564,166451.89894317242,381400.339829972,179155.6300568135,217423.33788174906,190767.27982234332,184802.73241545333,198720.14491301094,0.0
143831.57404485418,169264.37672447736,388196.6980622749,182399.11771483475,220920.6301366711,193993.22101399576,187967.03062869306,202116.69082107907,0.0
140747.1193762284,165550.97821287074,378531.77565924625,177990.20448742228,215712.27729752773,189933.5737383602,183713.50287661437,197549.7744570277,0.0
130316.81298771684,153239.66856102613,347950.5415758455,163790.2311026003,199346.96640940168,175916.0050382504,169901.86363846814,182697.21865914855,0.0
119763.49464503939,140806.88898794207,317748.27473720914,149719.01573017455,183085.49402771788,161497.08614223308,156121.52060455826,167861.52747898432,0.0
113622.59942380556,133526.8921742655,300650.8811570184,141757.90168883692,173664.55464159197,152910.43937954959,148186.90993266352,159305.19852354375,0.0
109175.23358175265,128196.03099337584,288261.08196878684,136021.68243433564,166612.49321623406,146772.67963756615,142332.48389748725,152996.1653304419,0.0
103090.22400255216,120978.63605572881,270989.83567017,128008.85424785632,156906.35585599375,138689.7956152928,134203.82298830448,144256.37818235482,0.0
96566.36791983376,113340.81550147697,252710.52904285787,119484.45545613042,146745.97186167428,130056.0097104563,125580.25039622626,134985.70704463433,0.0
