EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
-11685.421452260169,12051.695776440392,334288.76879848813,30180.858322634922,75841.09125958972,53750.7368543913,31281.259202110345,47685.344763297166,0.0
-19546.27835303453,2364.1079560217236,301271.8152205716,17464.498564507216,56904.02671872479,37232.23022760641,19667.673503995986,33710.39330466729,0.0
-24440.737848946068,-4178.677330054082,269839.97622245783,9811.411417415653,45886.59149437191,27516.723455746498,12172.267370802625,25203.92221753943,0.0
-33574.580908877455,-15490.354861775935,235929.9063118982,-1742.2394945534083,33053.629403553445,17866.024662542437,-443.9232618199178,12029.352145541796,0.0
-44827.417085376685,-28535.12602472157,203432.59003743215,-16019.921952087276,16644.564272188196,4678.0988685884395,-15087.216966843644,-3673.151303076803,0.0
-51258.33924431891,-36180.48153385447,178653.42398377045,-25792.585242605386,3733.3228375372173,-7874.147645212644,-23896.7818357074,-13683.333569511173,0.0
-54095.21832432488,-40658.84988306232,158057.88257387,-31715.086113262616,-4541.984424197009,-16438.116668967188,-29313.353092116202,-19879.90335292573,0.0
-60095.34406322812,-48867.9738814613,133755.1310592234,-40379.22422042176,-14848.560049184478,-24113.893333284872,-38864.79388681656,-30133.717932938325,0.0
-68974.30639684606,-59382.20296503734,107288.34546323903,-51628.968993573646,-28511.065075853836,-33993.412999109685,-50844.451623136425,-43174.96075290771,0.0
-74395.22096532214,-65515.57649904693,86279.64315956466,-59251.35216269157,-38976.09936160099,-43561.692468422894,-57876.27459074475,-51238.43837871649,0.0
-75962.46575688006,-67988.80386592193,70360.74778433962,-62936.73009713426,-44313.3095833106,-49931.485355976445,-60901.18701478309,-54802.69935248103,0.0
-79682.3220828929,-73415.3210045461,52251.181413454724,-68755.15869326032,-50932.515535207196,-55371.114423854466,-67271.97276449851,-61595.79972345705,0.0
-86653.26664676961,-81976.60538468939,31245.839413066566,-77757.0731989723,-61752.675549166874,-62889.83786431672,-77087.63158940832,-72243.78802600579,0.0
-91328.28836822059,-87389.06452821233,13950.375895370573,-84267.97196833661,-71045.23685580051,-70643.77910557282,-83359.16168168702,-79464.17323503782,0.0
-92073.93111637984,-88710.1339354816,1622.2576198796448,-86646.95586806687,-75189.78834527558,-75616.62621032477,-85123.01227159568,-81738.9199380077,0.0
-94041.85864435493,-91863.06862787955,-12024.9051768522,-90194.43067128793,-79150.56516755118,-79329.36104901381,-88951.91219706443,-85845.21585892326,0.0
-99421.03524408642,-98561.3728988792,-29015.69379787635,-97179.31024793681,-87136.35074004784,-84894.66835859575,-96656.32773919209,-94152.95423510789,0.0
-103555.65078388999,-103435.0665823041,-43623.770090001955,-102841.32284763559,-95137.67661027759,-91216.67779668127,-102284.61164601424,-100594.17645671134,0.0
-103816.78617801746,-104200.92009464596,-53274.16255078875,-104453.2836047114,-98712.8151594015,-95199.63508031017,-103416.07276743901,-102206.90097842643,0.0
-104390.27788825762,-105685.44266006711,-63241.78128199775,-106275.06710707006,-101047.3689382753,-97597.09089137794,-105415.60059620117,-104402.14639178479,0.0
-108354.88539472749,-110689.4788375731,-76783.10853976225,-111498.00402438774,-106713.11260892639,-101548.95720736524,-111259.95342422946,-110679.20828190797,0.0
-112101.52499024353,-115026.73795456336,-89346.30817258506,-116479.69528832767,-113343.26889147065,-106734.82834348138,-116258.01452523012,-116369.79137168487,0.0
-112221.98670744538,-115550.96082745127,-97251.29400424405,-117711.98391423328,-116439.63377551861,-110070.8516446851,-117049.34924365071,-117620.91383847385,0.0
