EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
208120.100,246475.900,602241.100,280671.000,323554.300,282569.300,273698.100,294550.700,0.000
204172.800,241386.200,579703.200,270810.300,316926.800,276669.700,268225.100,288602.300,0.000
200913.000,237090.400,562547.800,263239.300,310598.700,272292.600,263277.100,283268.400,0.000
197850.900,233574.000,548687.100,256939.600,305519.600,268414.600,258964.500,278623.700,0.000
194917.900,230000.700,536899.300,251580.500,300905.900,264071.000,255129.300,274454.600,0.000
192200.300,226662.100,526635.200,246920.900,296625.800,259757.800,251687.500,270694.800,0.000
189829.800,223639.900,517557.300,242850.700,292497.300,256201.300,248459.900,267192.400,0.000
187899.100,221087.600,509826.900,239447.900,288472.000,253773.600,245443.000,263959.200,0.000
185997.500,219044.400,503017.400,236328.200,285395.400,251579.300,242788.000,261121.000,0.000
184082.100,216755.600,496737.900,233466.900,282539.600,248725.600,240375.700,258509.500,0.000
182255.800,214544.500,490918.600,230823.400,279828.100,245739.500,238173.000,256100.800,0.000
180689.200,212545.100,485541.400,228442.300,277132.100,243360.800,236073.500,253822.000,0.000
179442.400,210867.900,480884.300,226425.600,274366.300,241918.600,234037.900,251644.300,0.000
178165.900,209597.100,476696.900,224492.500,272385.600,240617.000,232254.700,249743.800,0.000
176832.700,208036.000,472709.400,222674.500,270543.500,238623.700,230646.000,247991.100,0.000
175520.800,206466.500,468882.900,220934.600,268720.000,236400.600,229153.300,246347.400,0.000
174379.700,205014.700,465228.300,219309.000,266806.200,234657.900,227660.000,244729.400,0.000
173559.800,203866.300,462121.500,217994.100,264795.400,233817.200,226215.000,243195.500,0.000
172665.100,203060.300,459311.700,216684.300,263469.100,233056.800,224955.000,241863.000,0.000
171670.500,201913.200,456555.300,215416.100,262204.600,231546.400,223807.800,240614.500,0.000
170675.900,200725.100,453842.700,214170.900,260910.200,229773.600,222737.200,239434.900,0.000
169857.300,199646.800,451223.000,213025.500,259516.800,228468.800,221667.000,238273.500,0.000
169306.400,198820.200,449033.100,212121.800,257968.000,227991.700,220591.900,237138.100,0.000
168683.300,198326.600,447080.000,211200.400,257079.300,227585.900,219686.500,236186.600,0.000
167927.800,197463.000,445093.100,210271.200,256204.100,226416.900,218853.300,235277.400,0.000
167155.700,196536.900,443098.600,209347.100,255273.800,224961.700,218074.700,234413.800,0.000
166556.600,195720.000,441157.300,208509.400,254230.300,223947.300,217296.000,233561.200,0.000
166197.400,195121.300,439583.600,207879.300,253010.500,223719.600,216481.800,232706.000,0.000
165715.700,194792.400,438157.100,207184.700,252367.700,223517.400,215781.600,231979.800,0.000
165148.600,194160.300,436717.600,206516.600,251792.800,222624.000,215190.600,231331.000,0.000
164554.500,193442.700,435236.100,205836.000,251139.700,221413.900,214642.000,230710.600,0.000
164076.800,192781.300,433732.600,205187.500,250321.200,220578.300,214038.200,230050.900,0.000
163838.700,192338.600,432569.800,204740.500,249310.900,220524.000,213403.200,229385.400,0.000
163507.700,192181.600,431565.400,204244.100,248895.700,220510.700,212894.700,228862.700,0.000
163056.500,191689.600,430489.100,203733.300,248508.400,219785.500,212455.800,228379.900,0.000
162570.400,191104.700,429350.500,203199.700,248027.000,218737.200,212048.200,227914.700,0.000
162215.900,190589.000,428201.300,202710.900,247406.200,218067.600,211601.700,227422.800,0.000
162104.600,190281.000,427368.000,202421.300,246582.500,218155.200,211115.700,226919.400,0.000
161885.600,190242.800,426660.100,202066.400,246314.300,218272.200,210739.700,226539.300,0.000
161520.300,189858.200,425850.200,201669.400,246061.600,217671.600,210408.200,226177.100,0.000
161124.600,189383.500,424972.800,201254.900,245721.700,216753.400,210116.100,225838.700,0.000
160833.600,188951.600,424043.500,200858.400,245218.400,216177.300,209764.200,225452.500,0.000
160788.200,188723.900,423427.800,200665.400,244511.900,216354.100,209379.400,225058.100,0.000
160633.800,188764.600,422928.900,200402.800,244347.700,216562.400,209097.100,224777.900,0.000
160352.000,188481.200,422334.600,200109.800,244223.600,216078.000,208871.600,224527.500,0.000
160010.100,188074.300,421639.400,199774.400,243983.700,215245.000,208655.300,224272.900,0.000
159784.000,187716.600,420898.700,199465.900,243586.300,214758.300,208392.000,223977.800,0.000
159794.000,187553.000,420450.700,199343.300,242970.900,215005.700,208078.400,223659.300,0.000
159697.300,187650.100,420110.300,199150.800,242885.300,215280.900,207864.000,223454.000,0.000
159469.100,187433.300,419665.700,198926.300,242837.600,214876.400,207705.900,223280.100,0.000
