EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
157977.300,185576.200,414955.700,196954.300,240429.300,212624.400,205786.500,221191.700,0.000
158727.000,186478.900,417073.900,197948.300,241612.200,213668.600,206772.600,222253.700,0.000
157849.500,185438.500,414473.600,196748.600,240270.000,212460.800,205633.200,221026.300,0.000
156513.000,183854.700,410606.800,194955.900,238212.500,210618.400,203894.400,219155.000,0.000
156487.700,183814.600,410574.800,194949.500,238158.000,210579.200,203860.200,219121.600,0.000
157715.100,185268.100,414140.600,196617.200,240043.500,212271.900,205462.800,220851.600,0.000
158440.200,186140.400,416191.800,197577.300,241186.500,213277.700,206419.100,221883.300,0.000
157656.200,185213.100,413857.000,196494.900,239981.700,212204.600,205396.400,220781.600,0.000
156432.400,183770.400,410310.900,194844.000,238099.400,210530.300,203800.800,219061.600,0.000
156404.200,183731.700,410252.200,194824.200,238043.500,210491.100,203761.200,219015.800,0.000
157524.700,185056.200,413487.000,196342.600,239759.500,212028.200,205220.800,220584.000,0.000
158203.000,185866.800,415391.500,197240.200,240817.900,212959.400,206108.400,221537.600,0.000
157526.900,185062.900,413366.200,196306.200,239769.500,212031.800,205217.700,220578.800,0.000
156437.000,183776.600,410216.000,194837.400,238095.000,210542.300,203791.400,219045.000,0.000
156389.900,183710.800,410112.600,194790.400,238013.400,210469.500,203724.000,218973.400,0.000
157366.600,184856.200,412924.000,196109.600,239499.300,211792.000,204991.000,220337.000,0.000
157978.100,185581.800,414621.100,196912.800,240442.300,212620.400,205787.100,221194.200,0.000
157420.400,184917.700,412925.800,196136.200,239569.400,211856.700,205050.000,220401.300,0.000
156495.800,183829.300,410234.000,194887.300,238146.000,210599.200,203840.700,219100.400,0.000
156447.000,183766.500,410117.100,194836.500,238065.600,210528.800,203776.300,219031.600,0.000
157256.100,184721.600,412474.300,195936.200,239309.000,211629.500,204835.600,220172.100,0.000
157758.900,185325.000,413908.400,196604.700,240100.900,212319.000,205501.600,220889.700,0.000
157291.400,184770.600,412509.000,195958.400,239375.100,211689.100,204889.300,220231.600,0.000
156521.100,183867.000,410269.100,194918.400,238194.300,210650.500,203883.500,219148.800,0.000
156474.000,183807.000,410146.900,194868.600,238121.500,210584.300,203822.500,219081.300,0.000
157137.200,184584.900,412072.200,195774.000,239140.000,211482.000,204693.900,220016.300,0.000
157557.500,185086.000,413267.600,196335.900,239801.800,212056.800,205254.500,220617.700,0.000
157191.600,184653.000,412165.200,195827.000,239229.900,211566.400,204773.200,220099.200,0.000
156573.500,183932.700,410359.800,194986.900,238280.500,210735.300,203962.300,219226.300,0.000
156527.400,183875.100,410231.000,194931.500,238207.800,210667.800,203899.200,219158.200,0.000
157050.000,184487.000,411744.300,195642.500,239008.500,211368.500,204581.800,219892.700,0.000
157390.800,184893.300,412707.300,196095.300,239542.900,211828.300,205031.300,220376.500,0.000
157120.300,184568.600,411874.000,195713.600,239110.800,211462.000,204669.100,219987.000,0.000
156646.300,184013.300,410472.800,195065.500,238379.500,210823.000,204044.200,219316.000,0.000
156604.400,183957.000,410346.100,195013.900,238312.500,210758.500,203986.200,219256.000,0.000
156996.500,184410.100,411483.200,195550.300,238910.000,211279.000,204498.400,219809.000,0.000
157256.900,184716.900,412220.900,195898.100,239316.400,211626.900,204842.800,220180.000,0.000
157061.400,184481.300,411611.500,195621.500,238998.700,211364.100,204580.100,219896.600,0.000
156706.000,184072.900,410560.400,195135.800,238456.800,210893.100,204114.900,219394.800,0.000
156663.100,184025.500,410437.100,195082.600,238399.200,210835.500,204062.600,219337.200,0.000
156942.900,184354.900,411253.000,195465.300,238830.800,211209.400,204433.400,219734.700,0.000
157133.500,184585.500,411799.000,195720.000,239135.100,211468.500,204691.000,220009.900,0.000
156995.600,184420.500,411376.800,195527.200,238912.600,211290.900,204507.900,219812.100,0.000
156734.300,184121.400,410617.800,195174.900,238519.500,210953.100,204168.800,219448.000,0.000
156688.300,184067.400,410496.100,195121.500,238458.800,210894.500,204115.500,219391.700,0.000
156873.400,184283.200,411041.000,195378.700,238746.800,211141.700,204365.500,219661.500,0.000
157009.100,184446.700,411425.300,195559.700,238967.500,211324.800,204550.600,219860.600,0.000
156931.800,184347.900,411165.600,195443.700,238832.100,211221.300,204439.400,219740.400,0.000
156764.300,184154.600,410665.000,195210.200,238575.000,211001.400,204213.600,219497.500,0.000
156731.600,184111.800,410564.300,195165.800,238525.500,210951.700,204167.300,219447.700,0.000
156855.600,184250.300,410903.200,195332.700,238705.300,211104.700,204325.000,219616.400,0.000
156953.800,184366.700,411158.500,195460.400,238856.600,211228.100,204452.200,219752.400,0.000
156915.100,184316.800,411017.900,195400.700,238783.300,211179.800,204393.500,219689.300,0.000
156807.200,184202.500,410710.600,195253.600,238630.300,211051.800,204255.300,219540.700,0.000
156769.100,184162.600,410615.300,195206.500,238585.500,211005.000,204212.500,219492.700,0.000
156821.900,184222.100,410773.900,195281.700,238666.000,211066.600,204285.600,219569.000,0.000
156869.400,184280.300,410908.800,195346.300,238746.400,211123.200,204353.000,219641.900,0.000
156861.700,184266.200,410858.500,195329.500,238717.900,211115.200,204335.400,219624.800,0.000
156821.000,184225.600,410717.000,195267.300,238654.700,211070.800,204279.600,219565.000,0.000
156797.000,184194.100,410638.800,195231.700,238618.100,211033.500,204248.900,219531.100,0.000
156804.900,184195.700,410661.800,195240.000,238622.700,211031.800,204258.800,219541.300,0.000
156824.500,184219.000,410708.500,195261.600,238654.900,211051.600,204285.500,219569.300,0.000
156841.600,184231.900,410726.200,195277.800,238661.200,211074.800,204299.200,219582.800,0.000
156839.400,184235.900,410701.400,195271.200,238658.200,211080.400,204295.000,219577.700,0.000
156822.300,184215.300,410639.000,195246.800,238634.100,211057.000,204273.000,219554.100,0.000
156803.500,184189.700,410576.200,195221.900,238601.200,211027.000,204247.600,219527.500,0.000
156796.600,184185.200,410559.300,195215.500,238603.600,211017.400,204244.900,219525.600,0.000
156816.600,184202.200,410613.100,195243.500,238626.800,211046.100,204270.100,219554.300,0.000
156833.900,184227.500,410662.000,195265.400,238659.400,211076.500,204295.400,219584.300,0.000
156820.500,184210.300,410610.300,195242.800,238641.800,211059.000,204277.800,219567.900,0.000
156785.900,184166.100,410493.200,195190.500,238582.900,211008.500,204230.500,219516.800,0.000
156768.200,184148.600,410439.400,195163.100,238565.200,210981.400,204212.700,219495.600,0.000
156805.700,184185.300,410530.800,195208.300,238608.100,211027.400,204256.800,219541.200,0.000
